127.0.0.1 - sa [21/Aug/2015:10:00:50 +0800] "GET /manager/html?org.apache.catalina.filters.CSRF_NONCE=96C00E69608DA185926391C2C0B00A3E HTTP/1.1" 200 15826
127.0.0.1 - sa [21/Aug/2015:10:00:50 +0800] "GET /manager/images/asf-logo.gif HTTP/1.1" 304 -
127.0.0.1 - sa [21/Aug/2015:10:00:50 +0800] "GET /manager/images/tomcat.gif HTTP/1.1" 304 -
127.0.0.1 - sa [21/Aug/2015:10:00:50 +0800] "GET /manager/html?org.apache.catalina.filters.CSRF_NONCE=96C00E69608DA185926391C2C0B00A3E HTTP/1.1" 200 15826
127.0.0.1 - sa [21/Aug/2015:10:00:50 +0800] "GET /manager/images/asf-logo.gif HTTP/1.1" 304 -
127.0.0.1 - sa [21/Aug/2015:10:00:50 +0800] "GET /manager/images/tomcat.gif HTTP/1.1" 304 -
127.0.0.1 - sa [21/Aug/2015:10:00:50 +0800] "GET /manager/html?org.apache.catalina.filters.CSRF_NONCE=96C00E69608DA185926391C2C0B00A3E HTTP/1.1" 200 15826
127.0.0.1 - sa [21/Aug/2015:10:00:50 +0800] "GET /manager/images/asf-logo.gif HTTP/1.1" 304 -
127.0.0.1 - sa [21/Aug/2015:10:00:50 +0800] "GET /manager/images/tomcat.gif HTTP/1.1" 304 -
127.0.0.1 - sa [21/Aug/2015:10:00:50 +0800] "GET /manager/html?org.apache.catalina.filters.CSRF_NONCE=96C00E69608DA185926391C2C0B00A3E HTTP/1.1" 200 15826
127.0.0.1 - sa [21/Aug/2015:10:00:50 +0800] "GET /manager/images/asf-logo.gif HTTP/1.1" 304 -
127.0.0.1 - sa [21/Aug/2015:10:00:50 +0800] "GET /manager/images/tomcat.gif HTTP/1.1" 304 -
127.0.0.1 - sa [21/Aug/2015:10:00:51 +0800] "GET /manager/html?org.apache.catalina.filters.CSRF_NONCE=96C00E69608DA185926391C2C0B00A3E HTTP/1.1" 200 15826
127.0.0.1 - sa [21/Aug/2015:10:00:51 +0800] "GET /manager/images/asf-logo.gif HTTP/1.1" 304 -
127.0.0.1 - sa [21/Aug/2015:10:00:51 +0800] "GET /manager/images/tomcat.gif HTTP/1.1" 304 -
127.0.0.1 - sa [21/Aug/2015:10:00:51 +0800] "GET /manager/html?org.apache.catalina.filters.CSRF_NONCE=96C00E69608DA185926391C2C0B00A3E HTTP/1.1" 200 15826
127.0.0.1 - sa [21/Aug/2015:10:00:51 +0800] "GET /manager/images/asf-logo.gif HTTP/1.1" 304 -
127.0.0.1 - sa [21/Aug/2015:10:00:51 +0800] "GET /manager/images/tomcat.gif HTTP/1.1" 304 -
127.0.0.1 - sa [21/Aug/2015:10:00:51 +0800] "GET /manager/html?org.apache.catalina.filters.CSRF_NONCE=96C00E69608DA185926391C2C0B00A3E HTTP/1.1" 200 15826
127.0.0.1 - sa [21/Aug/2015:10:00:51 +0800] "GET /manager/images/asf-logo.gif HTTP/1.1" 304 -
127.0.0.1 - sa [21/Aug/2015:10:00:51 +0800] "GET /manager/images/tomcat.gif HTTP/1.1" 304 -
127.0.0.1 - sa [21/Aug/2015:10:00:51 +0800] "GET /manager/html?org.apache.catalina.filters.CSRF_NONCE=96C00E69608DA185926391C2C0B00A3E HTTP/1.1" 200 15826
127.0.0.1 - sa [21/Aug/2015:10:00:51 +0800] "GET /manager/images/asf-logo.gif HTTP/1.1" 304 -
127.0.0.1 - sa [21/Aug/2015:10:00:51 +0800] "GET /manager/images/tomcat.gif HTTP/1.1" 304 -
127.0.0.1 - sa [21/Aug/2015:10:00:51 +0800] "GET /manager/html?org.apache.catalina.filters.CSRF_NONCE=96C00E69608DA185926391C2C0B00A3E HTTP/1.1" 200 15826
